days,doubles every week,doubles every 3 days,doubles every 2 days,doubles every day,doubles every month,,doubles every week,doubles every 3 days,doubles every 2 days,doubles every day,doubles every month
Day 0,100,100,100,100,100,,10,10,10,10,10
Day 1,110,110,141,200,102,,11,11,14.1,20,10.2
Day 2,122,159,200,400,105,,12.2,15.9,20,40,10.5
Day 3,135,200,283,800,107,,13.5,20,28.3,80,10.7
Day 4,149,252,400,1600,110,,14.9,25.2,40,160,11
Day 5,164,317,566,3200,112,,16.4,31.7,56.6,320,11.2
Day 6,181,400,800,6400,115,,18.1,40,80,640,11.5
Day 7,200,504,1131,12800,117,,20,50.4,113.1,1280,11.7
Day 8,221,635,1600,25600,120,,22.1,63.5,160,2560,12
Day 9,244,800,2263,51200,123,,24.4,80,226.3,5120,12.3
Day 10,269,1008,3200,102400,126,,26.9,100.8,320,10240,12.6
Day 11,297,1270,4525,,128,,29.7,127,452.5,,12.8
Day 12,328,1600,6400,,131,,32.8,160,640,,13.1
Day 13,362,2016,9051,,134,,36.2,201.6,905.1,,13.4
Day 14,400,2540,12800,,138,,40,254,1280,,13.8
Day 15,442,3200,18102,,141,,44.2,320,1810.2,,14.1
Day 16,488,4032,25600,,144,,48.8,403.2,2560,,14.4
Day 17,538,5080,36204,,147,,,,,,
Day 18,594,6400,51200,,151,,,,,,
Day 19,656,8063,72408,,154,,,,,,
Day 20,725,10159,102400,,158,,,,,,
Day 21,800,12800,,,161,,,,,,
Day 22,883,16127,,,165,,,,,,
Day 23,975,20319,,,169,,,,,,
Day 24,1077,25600,,,173,,,,,,
Day 25,1189,32254,,,177,,,,,,
Day 26,1313,40637,,,181,,,,,,
Day 27,1449,51200,,,185,,,,,,
Day 28,1600,64508,,,189,,,,,,
Day 29,1767,81275,,,194,,,,,,
Day 30,1950,102400,,,198,,,,,,
Day 31,2153,,,,203,,,,,,
Day 32,2378,,,,207,,,,,,
Day 33,2625,,,,212,,,,,,
Day 34,2898,,,,217,,,,,,
